Full Name,Employment Sector,Job Title,Current Monthly Salary (USD),Total Previous Loans,Active Loans,Total Outstanding Balance (USD),Avg Loan Amount (USD),Common Loan Reason,Historical Return Rate (%),Days Past Due (Max),MFI Diversity Score,Risk Label
Panashe Chikore,Transport,Kombi Driver,730,0,0,0,663,Medical,65,147,5,High
Musa Maphosa,Health,Nurse,2009,7,4,3150,899,Small Business,98,0,1,Low
Vimbai Makoni,Health,Lab Tech,1105,7,1,427,400,Input Financing,98,0,1,Low
Tariro Madzima,Education,Lecturer,952,1,1,392,372,Utility Debt,63,98,4,High
Tariro Marembo,Retail,Buyer,569,6,2,1149,882,Utility Debt,96,0,3,Low
Dumisani Hlongwane,Manufacturing,Line Supervisor,913,4,0,0,513,Small Business,98,1,3,Low
Nomsa Mpofu,Manufacturing,Factory Hand,794,4,5,457,166,Medical,99,0,1,Low
Vimbai Mwenje,Transport,Kombi Driver,359,3,4,3173,960,Asset Financing,93,26,2,Medium
Gugulethu Gumbo,Public Sector,ZRP Sergeant,615,3,3,3271,1054,School Fees,69,149,4,High
Tapiwa Tshuma,Health,Lab Tech,890,3,1,628,663,Solar Equipment,50,112,5,High
Tariro Zhou,Public Sector,Admin Secretary,638,10,0,0,775,Solar Equipment,97,3,3,Low
Nomsa Madzima,Transport,Truck Driver,297,3,1,127,243,Small Business,99,3,1,Low
Tinashe Marembo,Manufacturing,Line Supervisor,987,8,6,2535,614,Utility Debt,96,0,1,Low
Munyaradzi Ndlovu,Transport,Kombi Driver,998,10,5,5263,1056,Asset Financing,99,0,2,Low
Tatenda Chidambaram,Agriculture,Farm Manager,519,10,0,0,375,Small Business,90,27,2,Medium
Tatenda Sibanda,Public Sector,Teacher,968,4,2,1994,1175,Input Financing,98,0,1,Low
Tinashe Mutambara,Mining,Underground Supervisor,1319,0,1,418,673,Small Business,100,0,2,Low
Thabo Makoni,Agriculture,Farm Manager,728,7,0,0,286,Small Business,100,0,2,Low
Chengetai Maphosa,Mining,Driller,1459,9,1,1053,1115,Home Improvement,99,0,3,Low
Panashe Mpofu,Education,Department Head,2132,6,5,3066,633,Asset Financing,100,0,2,Low
Simba Sithole,Transport,Truck Driver,287,8,4,1738,395,Home Improvement,60,46,5,High
Makanaka Muzenda,Manufacturing,Factory Hand,633,9,6,4600,714,Solar Equipment,98,4,1,Low
Gugulethu Nyathi,Manufacturing,Factory Hand,778,7,1,1091,1129,School Fees,98,0,3,Low
Gugulethu Mutambara,Education,Teacher,1056,1,2,1125,873,Home Improvement,73,82,3,High
Kuda Dube,Transport,Kombi Driver,352,7,0,0,561,Asset Financing,93,21,3,Medium
Vimbai Phiri,Mining,Underground Supervisor,1931,2,3,728,212,Solar Equipment,57,71,5,High
Takudzwa Phiri,Education,Principal,1233,5,6,4603,873,Utility Debt,100,0,2,Low
Rudo Moyo,Retail,Shop Assistant,290,7,3,3729,1091,School Fees,95,15,4,Medium
Farai Moyo,Transport,Truck Driver,318,2,1,399,489,Asset Financing,94,8,3,Medium
Dumisani Sibanda,Public Sector,Customs Clerk,972,4,0,0,937,Solar Equipment,87,6,2,Medium
Dumisani Mutasa,Manufacturing,Factory Hand,356,5,3,2571,828,Solar Equipment,100,0,1,Low
Tapiwa Maphosa,Public Sector,ZIMRA Officer,582,1,1,786,845,Input Financing,96,0,1,Low
Dumisani Mwenje,Agriculture,Agro-dealer,528,0,1,422,354,Input Financing,99,0,1,Low
Vimbai Sibanda,Retail,Buyer,919,2,1,993,840,Medical,93,12,3,Medium
Munyaradzi Mpofu,Mining,Driller,1877,8,1,529,808,School Fees,98,0,2,Low
Itayi Mwenje,Transport,Logistics,490,2,3,1257,634,Small Business,99,0,2,Low
Chengetai Zuma,Transport,Logistics,550,1,0,0,1021,Utility Debt,86,14,4,Medium
Musa Mutambara,Transport,Logistics,704,3,1,380,352,Utility Debt,99,0,3,Low
Blessing Chuma,Education,Department Head,1824,5,5,6162,1042,Home Improvement,97,0,2,Low
Vimbai Chuma,Agriculture,Tobacco Smallholder,400,10,6,3842,852,Home Improvement,50,130,5,High
Chipo Makoni,Health,Medical Officer,854,8,3,1585,690,Solar Equipment,86,13,2,Medium
Thabo Nyathi,Agriculture,Farm Manager,451,7,0,0,384,Medical,97,0,1,Low
Dumisani Zhuwao,Agriculture,Agro-dealer,829,3,0,0,665,Solar Equipment,88,17,2,Medium
Kuda Maphosa,Transport,Kombi Driver,284,10,5,2607,913,Small Business,98,0,1,Low
Panashe Madzima,Education,Teacher,823,0,0,0,1183,Solar Equipment,98,0,2,Low
Itayi Maphosa,Mining,Underground Supervisor,1813,7,5,996,174,Solar Equipment,97,0,1,Low
Blessing U. Chuma,Agriculture,Tobacco Smallholder,883,3,0,0,662,Asset Financing,97,0,2,Low
Anesu Nyathi,Mining,Driller,2079,6,2,2382,993,Input Financing,94,20,2,Medium
Tariro Makoni,Agriculture,Farm Manager,611,7,6,2634,760,Medical,90,14,2,Medium
Chengetai Sibanda,Mining,Driller,2178,10,6,4472,681,Medical,98,0,3,Low
Takudzwa Gumbo,Agriculture,Tobacco Smallholder,848,9,6,5079,1068,Home Improvement,66,37,3,High
Simba Bhebhe,Mining,Driller,2186,3,1,659,653,Utility Debt,58,143,4,High
Takudzwa Masinga,Public Sector,Teacher,603,9,5,2996,741,Solar Equipment,88,17,3,Medium
Gugulethu Mpofu,Education,Principal,1496,2,3,1176,379,Small Business,97,1,3,Low
Blessing Mwenje,Public Sector,ZRP Sergeant,458,2,3,2479,966,Home Improvement,97,0,1,Low
Panashe A. Chikore,Manufacturing,Factory Hand,629,3,2,209,170,Solar Equipment,52,72,3,High
Musa Mpofu,Agriculture,Farm Manager,730,5,4,4148,1166,Emergency,96,0,1,Low
Rudo Chuma,Agriculture,Tobacco Smallholder,392,1,0,0,200,Emergency,90,18,2,Medium
Musa Chikore,Retail,Shop Assistant,570,0,1,416,473,Medical,92,5,4,Medium
Thabo Zuma,Education,Department Head,1001,7,4,2146,904,Emergency,100,0,1,Low
Rufaro Muzenda,Manufacturing,Factory Hand,751,10,4,2751,802,Small Business,100,0,2,Low
Vimbai Mpofu,Transport,Kombi Driver,834,2,2,479,421,Utility Debt,95,28,3,Medium
Rufaro Mutasa,Mining,Driller,1015,7,2,1105,617,Utility Debt,55,146,4,High
Chengetai Phiri,Manufacturing,Factory Hand,649,1,1,338,419,School Fees,87,27,3,Medium
Makanaka Gumbo,Public Sector,Customs Clerk,891,5,1,426,595,Asset Financing,98,0,1,Low
Sizo Muzenda,Health,Lab Tech,1973,3,1,110,163,Asset Financing,97,0,1,Low
Itayi Moyo,Transport,Logistics,251,10,4,1997,730,Asset Financing,66,33,4,High
Thabo Sithole,Manufacturing,Welder,308,0,0,0,811,Home Improvement,98,0,1,Low
Itayi Zhuwao,Mining,Driller,1227,1,0,0,755,Input Financing,100,0,1,Low
Munyaradzi Mhlanga,Health,Lab Tech,1511,1,2,988,518,Medical,97,0,1,Low
Tariro Chuma,Health,Nurse,2178,1,1,396,604,Home Improvement,59,32,3,High
Nomsa Mutambara,Retail,Shop Assistant,501,3,1,596,610,Emergency,91,12,4,Medium
Takudzwa Dube,Retail,Merchandiser,819,9,5,4897,1124,Input Financing,75,63,5,High
Makanaka Zhou,Public Sector,Teacher,885,4,0,0,456,Emergency,51,137,4,High
Kuda Bhebhe,Manufacturing,Factory Hand,714,5,1,419,569,School Fees,91,21,3,Medium
Vimbai E. Mpofu,Public Sector,Customs Clerk,755,7,2,1309,604,Home Improvement,79,46,3,High
Chipo Ncube,Health,Nurse,2143,1,2,1767,941,School Fees,94,8,4,Medium
Panashe Moyo,Transport,Truck Driver,1000,1,2,2319,1102,Home Improvement,97,0,3,Low
Nyasha Chikore,Manufacturing,Line Supervisor,524,3,3,1391,583,Asset Financing,88,13,2,Medium
Chipo Zhuwao,Education,Teacher,1750,0,1,218,268,Asset Financing,98,0,1,Low
Nyasha Makoni,Transport,Truck Driver,502,5,4,3844,861,Input Financing,97,0,3,Low
Nyasha Gumbo,Public Sector,Customs Clerk,892,6,0,0,1079,Medical,99,0,2,Low
